,max_P,utility,inertia,reliability
0,2.5423914178411917,2.3956450450199283,0.9900000000000034,0.11253333333333346
1,4.017864742996227,1.3662326193765848,0.9900000000000034,0.10893333333333352
2,3.646455606146634,0.5984014905666972,0.9900000000000034,0.13020000000000012
3,9.848575626738402,0.8873894846608055,0.9900000000000034,0.03999999999999986
4,5.203221287225995,0.7583567490504536,0.9900000000000034,0.02999999999999993
5,2.5418086160765156,2.3956450450199283,0.9900000000000034,0.11166666666666683
6,4.017144885844978,1.3662326193765848,0.9900000000000034,0.10893333333333355
7,3.6467839457246582,0.5984014905666972,0.9900000000000034,0.1302666666666668
8,9.84828611726916,0.8873894846608055,0.9900000000000034,0.03999999999999986
9,5.202889177640088,0.7583567490504536,0.9900000000000034,0.02999999999999993
10,2.5419955580286695,2.390796782573885,0.9855333333333333,0.11220000000000013
11,4.016245553843194,1.3649140008467966,0.9884666666666693,0.10860000000000021
12,3.646440521999074,0.59784920313871,0.9888000000000026,0.13020000000000012
13,9.848278072660564,0.884291216902699,0.9870666666666682,0.03999999999999986
14,5.203070676815363,0.7583567490504536,0.9900000000000034,0.02999999999999993
15,2.5420270472775965,2.3956450450199283,0.9900000000000034,0.11220000000000016
16,4.016853586930767,1.3662326193765848,0.9900000000000034,0.10913333333333355
17,3.6462445835500357,0.5984014905666972,0.9900000000000034,0.13013333333333343
18,9.848427395160282,0.8873894846608055,0.9900000000000034,0.03999999999999986
19,5.20299867107108,0.7583567490504536,0.9900000000000034,0.02999999999999993
20,2.5424343163444183,2.3956450450199283,0.9900000000000034,0.1126666666666668
21,4.0168675963214255,1.3662326193765848,0.9900000000000034,0.10906666666666688
22,3.6467021996883244,0.5984014905666972,0.9900000000000034,0.1298666666666668
23,9.84826969481759,0.8873894846608055,0.9900000000000034,0.03999999999999986
24,5.203309812674553,0.7583567490504536,0.9900000000000034,0.02999999999999993
